name,date,author,risk_score,severity,tactic,technique,subtechnique
Bat files observed in HTTP Traffic on Unusual Port ,24-06-2024,['Tirth Teraiya'],100,medium,Execution,T1059 - Command and Scripting Interpreter,T1059.003 - Windows Command Shell
Data Archive for Potential Exfil,24-06-2024,['Tirth Teraiya'],50,medium,Collection,T1074 - Data Staged,T1074.001 - Local Data Staging
Data Exfiltration Observed via FTP,24-06-2024,['Tirth Teraiya'],75,high,Exfiltration,T1020 - Automated Exfiltration,none - none
Excessive Web Traffic,24-06-2024,['Tirth Teraiya'],25,low,Discovery,T1046 - Network Service Discovery,none - none
Potential MSF PowerShell Payload Observed,24-06-2024,['Tirth Teraiya'],50,high,Execution,T1059 - Command and Scripting Interpreter,T1059.001 - PowerShell
PowerShell Execution via a BAT File,24-06-2024,['Tirth Teraiya'],50,medium,Execution,T1059 - Command and Scripting Interpreter,T1059.001 - PowerShell
PowerShell Invoke-WebRequest Downloading .BAT File,24-06-2024,['Tirth Teraiya'],50,medium,Execution,T1059 - Command and Scripting Interpreter,T1059.001 - PowerShell
Suspicious File Added to Registry,24-06-2024,['Tirth Teraiya'],75,high,Persistence,T1547 - Boot or Logon Autostart Execution,T1547.001 - Registry Run Keys / Startup Folder
Suspicious File Written to Temp Directory,24-06-2024,['Tirth Teraiya'],75,high,Discovery; Discovery,T1082 - System Information Discovery; T1217 - Browser Information Discovery,none - none; none - none
Web Scanner Activity - Nmap and Nikto,24-06-2024,['Tirth Teraiya'],25,low,Discovery,T1046 - Network Service Discovery,none - none
